"球員","球隊","打席","打擊率","上壘率","長打率","AB/HR","BB//k","OPS","OPS+","IsoP"
"  王 柏 融 ","Lamigo","426","0.419","0.484","0.669","19.74","0.83","1.153","167.1","0.25"
"  王 勝 偉 ","中信兄弟","350","0.301","0.362","0.418","102","0.69","0.78","82.6","0.117"
"  周 思 齊 ","中信兄弟","390","0.334","0.421","0.561","21.73","1.19","0.982","128","0.227"
"  林 志 祥 ","統一7-ELEVEn","399","0.31","0.369","0.461","44.75","0.56","0.83","93.4","0.151"
"  林 泓 育 ","Lamigo","357","0.393","0.454","0.66","16.89","0.48","1.114","157.3","0.267"
"  林 威 廷 ","義大","345","0.301","0.365","0.475","29.9","0.34","0.84","95.3","0.174"
"  林 哲 瑄 ","義大","353","0.325","0.423","0.5","24.33","0.88","0.923","115.8","0.175"
"  林 益 全 ","義大","348","0.364","0.425","0.545","25.67","0.82","0.97","125.7","0.181"
"  林 智 勝 ","中信兄弟","367","0.357","0.441","0.701","10.62","0.79","1.142","162.3","0.344"
"  唐 肇 廷 ","統一7-ELEVEn","309","0.322","0.373","0.452","35.38","0.45","0.825","92.6","0.13"
"  高 孝 儀 ","義大","292","0.318","0.367","0.393","133.5","0.34","0.76","78.8","0.075"
"  高 國 慶 ","統一7-ELEVEn","412","0.304","0.371","0.429","33.45","0.57","0.8","87.3","0.125"
"  高 國 輝 ","義大","354","0.289","0.376","0.603","12.2","0.75","0.979","124.8","0.314"
"  張 正 偉 ","中信兄弟","405","0.351","0.415","0.45","88.25","1.06","0.865","103.3","0.099"
"  陳 俊 秀 ","Lamigo","332","0.317","0.407","0.63","11.83","0.98","1.037","138.6","0.313"
"  陳 鏞 基 ","統一7-ELEVEn","412","0.334","0.393","0.539","19.53","0.42","0.932","116","0.205"
"  彭 政 閔 ","中信兄弟","321","0.336","0.408","0.453","45.67","0.95","0.861","102.1","0.117"
"  陽 耀 勳 ","Lamigo","291","0.297","0.351","0.519","20.46","0.38","0.87","100.7","0.222"
"  潘 武 雄 ","統一7-ELEVEn","377","0.348","0.427","0.567","19.29","0.71","0.994","130.8","0.219"
"  蔣 智 賢 ","中信兄弟","367","0.41","0.463","0.759","11.17","0.78","1.222","180.2","0.349"
"  鄭 鎧 文 ","統一7-ELEVEn","376","0.237","0.343","0.505","15.1","0.4","0.848","95.7","0.268"
"  羅 國 龍 ","統一7-ELEVEn","371","0.329","0.405","0.483","36.11","0.53","0.888","107.5","0.154"
