"球員名稱","球隊","狀態","G","GS","GR","CG","SHO","NBB","W","L","SV","BS","HLD","IP","WHIP","ERA","BF","NP","H","HR","BB","IBB","HBP","SO","WP","BK","R","ER","GO","AO","G/F"
" 力 猛","義大","二軍",21,21,0,0,0,0,8,7,0,0,0,114.1,1.42,4.72,499,1971,116,14,46,0,6,90,2,1,71,60,109,132,0.826
" 王 玉 譜","統一7-ELEVEn","一軍",1,0,1,0,0,0,0,0,0,0,0,1,2,0,5,18,1,0,1,0,0,1,0,0,0,0,1,1,1
" 王 梓 安","中信兄弟","二軍",16,1,15,0,0,0,0,1,0,0,1,19.2,2.29,7.78,100,350,37,6,8,0,0,8,3,0,22,17,25,22,1.136
" 王 溢 正","Lamigo","一軍",20,19,1,0,0,0,6,5,0,0,0,105,1.96,7.11,513,1898,162,13,44,0,7,80,5,1,97,83,108,112,0.964
" 王 豐 鑫","Lamigo","二軍",1,0,1,0,0,0,0,0,0,0,0,2,2,4.5,10,38,1,1,3,0,0,1,0,0,1,1,3,2,1.5
" 王 鏡 銘","統一7-ELEVEn","一軍",32,0,32,0,0,0,2,2,4,2,6,36.1,1.49,3.72,167,635,45,3,9,1,1,33,5,0,18,15,40,38,1.053
" 王 躍 霖","Lamigo","一軍",27,6,21,0,0,0,1,5,0,0,5,47.1,2.07,7.23,239,902,70,7,28,1,1,49,5,0,43,38,37,53,0.698
" 布 魯 斯","統一7-ELEVEn","一軍",24,24,0,2,0,0,10,7,0,0,0,140,1.6,5.01,639,2385,163,19,61,0,7,134,4,0,91,78,132,142,0.93
" 伍 鐸","中信兄弟","一軍",8,8,0,0,0,0,4,1,0,0,0,48,1.31,4.12,205,757,55,3,8,0,3,41,3,0,26,22,58,40,1.45
" 朱 俊 祥","Lamigo","二軍",3,0,3,0,0,0,0,0,0,0,0,1.2,3,16.2,9,33,3,0,2,0,0,0,0,0,3,3,1,3,0.333
" 江 辰 晏","統一7-ELEVEn","一軍",26,13,13,0,0,0,2,7,0,0,3,86.2,1.67,6.85,407,1603,99,17,46,0,3,84,3,0,70,66,67,108,0.62
" 江 忠 城","中信兄弟","一軍",13,1,12,0,0,0,1,1,0,1,2,16.2,1.68,5.94,79,320,19,5,9,1,1,21,4,0,12,11,16,12,1.333
" 江 承 峰","統一7-ELEVEn","一軍",23,0,23,0,0,0,1,0,0,1,5,31,1.42,5.23,136,472,35,3,9,0,1,22,0,0,20,18,23,46,0.5
" 艾 迪 頓","中信兄弟","一軍",1,1,0,0,0,0,0,0,0,0,0,6.2,1.35,1.35,29,110,7,0,2,0,0,7,1,0,2,1,9,4,2.25
" 杜 家 明","中信兄弟","一軍",9,2,7,0,0,0,1,2,0,0,0,24.1,1.68,5.55,109,407,32,5,9,0,2,11,1,0,19,15,33,22,1.5
" 周 磊","中信兄弟","二軍",19,0,19,0,0,0,0,2,0,3,3,20.2,2.32,10.89,111,401,34,2,14,0,1,23,3,0,29,25,25,14,1.786
